keyword,created_at,text,username,hashtag,hashtag_occurence
Doctor,2021-07-23 13:05:49,"@ShirlMcSquirrel @JohnRiche I am in the same boat for my family, got a letter last week saying my doctor would no l… https://t.co/rmHa8uH4MZ",EpilepsyNL,,246
Doctor,2021-07-23 13:05:48,RT @JackPosobiec: EXCLUSIVE: FBI chief who ignored abuse claims against Larry Nassar for over a YEAR is seen enjoying retirement after scat…,NicolePetrinoSa,,246
Doctor,2021-07-23 13:05:48,"@doctor_panter @rmzzani همین اکیپ باعث اشنایی ما دوتا شد 
یه اکیپ ۱۲نفره ک ۴تاش دختره ۸تا پسر",mubina80,,246
Doctor,2021-07-23 13:05:48,RT @bailey_jodie: Our 11 month old has tested positive for covid.We are back at home now but both the paramedic and doctor who treated us s…,factsand2cents,,246
Doctor,2021-07-23 13:05:45,@hansehunn ayoko baka mainlove sakin yung doctor :((,bhyungie,,246
Doctor,2021-07-23 13:05:45,"RT @sassyRekha: 1: Condition at a hospital in Klang Valley today (22 July 2021). A doctor there said:

-&gt;""Patients are lying on the floor,…",carahhhhhhhhh,,246
Doctor,2021-07-23 13:05:45,"@TheScottCharles I always think about the people they influence, worried about the innocents that are close to them… https://t.co/ShICsbx4fC",SonjaMcDaniel94,,246
Vintage car,2021-07-23 13:03:54,Car SOS Live with Fuzz and Tim set for The British Motor Show https://t.co/cQ2KhkCRoV #classiccar #classiccars… https://t.co/bPwJq7TYqT,GadforteMen,classiccar,1
Vintage car,2021-07-23 13:01:00,"Today @ 6 pm - Sun 7/25 @ 6 pm

2021 Pittsburgh Vintage Grand Prix Race &amp; Car Show is happening in Schenley Park. R… https://t.co/yaPBCv0TDr",PghTransitAlert,,246
Vintage car,2021-07-23 13:00:48,@AlfaRomeoUK @Car_vintage Hell yeah!,chaseomgbbq33,,246
Vintage car,2021-07-23 13:00:36,"RT @AlfaRomeoUK: Are you ready to take the wheel?  
#GiuliaGTA #AlfaRomeo
📷 @car_vintage https://t.co/ccw45ZSW2B",chaseomgbbq33,GiuliaGTA,2
Vintage car,2021-07-23 13:00:02,"Are you ready to take the wheel?  
#GiuliaGTA #AlfaRomeo
📷 @car_vintage https://t.co/ccw45ZSW2B",AlfaRomeoUK,GiuliaGTA,2
Vintage car,2021-07-23 12:30:55,What is your favorite vintage car? #Ride into the weekend like... #WeekendMode #ON https://t.co/CZeOHah11N,AFEWSTORE,Ride,1
